"Adjustment","Usefulness","Percent_of_Total_Variance","Full_Model_R_Squared"
"TopDown",0.734861482357585,74.1244641692035,0.991388592948369
"Flows",0.00348343952929087,0.351369740792678,0.991388592948369
"Probation",0.000794812180997195,0.0801716084541018,0.991388592948369
"Multiple",0.000576996136811836,0.0582008044994609,0.991388592948369
"Economic",9.5574245617791e-05,0.00964044233488255,0.991388592948369
