"Adjustment","Mean","Median","SD","Min","Max","Negative"
"utility_basic",7878606.18639304,797774.01649722,22131756.4538612,-4261155.45097255,383926563.787927,0.44
"utility_economic",3072985.52100703,311858.070182511,8509802.87315071,-9350906.71480343,148583970.373147,1.55
"utility_multiple",3644644.48521088,392576.011643894,9704351.72095148,-8687220.58961248,149240703.11425,0.96
"utility_topdown",2976050.1278916,319615.662791423,7969048.78090613,-7064502.23205443,131581077.411107,0.96
"utility_probation",3176953.43875363,340552.278659696,8526139.01693026,-7616707.02148049,143692925.233263,0.96
"utility_flows",2891168.00191245,312029.811788793,7749100.00007245,-6892973.83592812,122700497.729929,0.96
"utility_econ_mult",3644644.48521088,392576.011643894,9704351.72095148,-8687220.58961248,149240703.11425,0.96
"utility_all",2891168.00191245,312029.811788793,7749100.00007245,-6892973.83592812,122700497.729929,0.96
