"S_p","U_p","U_0","Delta_U"
0.6,662991.45420897,523635.039664718,139356.414544252
0.65,726273.922325116,523635.039664718,202638.882660398
0.7,789556.390441263,523635.039664718,265921.350776545
0.75,852838.858557409,523635.039664718,329203.818892691
0.8,916121.326673556,523635.039664718,392486.287008838
0.85,979403.794789702,523635.039664718,455768.755124984
0.9,1042686.26290585,523635.039664718,519051.22324113
0.95,1105968.731022,523635.039664718,582333.691357277
