"Parameter","Original_Value","Min_Utility","Max_Utility","Range"
"Predictor Validity (ρ)",0.35,242554.288763726,960452.790206428,717898.501442702
"Success Ratio (S_p)",0.853,139356.414544252,582333.691357277,442977.276813025
"Training Cost (C_t)",10000,459565.703211953,459565.703211953,0
"Performance SD (σ_y)",7000,326554.458741181,766241.4611856,439687.002444419
